"","names","percent.Var1","percent.Freq"
"1","Oregon","A",100
"2","Idaho","B",97
"3","EP_GROUPQ_exp0.2","C",91.9
"4","percent_public_transpo_to_work_exp0.4","D",90.8
"5","percent_over90min_commute_sqrt","E",90.2
"6","num_housing_units_boxcox","F",88.5
"7","total_pop_sqrt","G",88.5
"8","percent_under_0.5_IPL_sqrt","H",76.3
"9","percent_leave_for_work_12to4pm_sqrt","I",68.8
"10","Arizona","J",65.6
"11","percent_25to34min_commute","K",65
"12","percent_male","L",61
"13","percent_employer_only","M",60.8
"14","percent_tricare_only_exp0.7","N",59.5
"15","Missouri","O",58.8
"16","percent_vacant_exp0.2","P",57.6
"17","percent_1.25to1.49_IPL_sqrt","Q",53.1
"18","median_year_built","R",50.3
"19","percent_7ormore_person_hh_exp0.4","S",48.7
"20","Florida","T",48.6
