"","names","percent.Var1","percent.Freq"
"1","Oregon","A",100
"2","Missouri","B",99.3
"3","total_pop_sqrt","C",99
"4","Indiana","D",94.7
"5","percent_over90min_commute_sqrt","E",93.8
"6","percent_leave_for_work_4tomidnight_sqrt","F",91.3
"7","percent_black_alone_exp0.3","G",91.2
"8","percent_tricare_only_exp0.7","H",88
"9","percent_1.85to1.99_IPL_sqrt","I",86.3
"10","percent_no_health_insur_sqrt","J",84.9
"11","percent_direct_purchase_only_sqrt","K",84
"12","percent_leave_for_work_12to4pm_sqrt","L",81.8
"13","Utah","M",76.2
"14","percent_nonfamily_not_alone_sqrt","N",75.9
"15","percent_4_person_hh","O",70.6
"16","percent_leave_for_work_before_6am_sqrt","P",68.8
"17","percent_medicaid_only_sqrt","Q",65.8
"18","percent_ue_in_labor_force_sqrt","R",65.5
"19","Ohio","S",65.3
"20","percent_2.01ormore_per_room","T",62.5
